titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
LE GRAND APPARTEMENT;PASCAL THOMAS;2002-09-24;2002-09-24;EXTERIEUR;RUE;DU FAUBOURG ST-HONORE;75008;RUE DU FAUBOURG ST-HONORE 75008 Paris France;48.872845, 2.310735
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;AVENUE;DE WAGRAM;75017;AVENUE DE WAGRAM 75017 Paris France;48.880704, 2.30008
BLIND DATE;HAIM BOUZAGLO;2002-04-10;2002-04-10;EXTERIEUR;AVENUE;MARCEAU;75008;AVENUE MARCEAU   75008 Paris France;48.86914, 2.298741
BLIND DATE;HAIM BOUZAGLO;2002-03-10;2002-03-10;EXTERIEUR;AVENUE;NIEL;75017;AVENUE NIEL 75017 Paris France;48.881547, 2.295707
BLIND DATE;HAIM BOUZAGLO;2002-01-10;2002-01-10;EXTERIEUR;AVENUE;FOCH;75016;AVENUE FOCH   75016 Paris France;48.872126, 2.285236
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;PLACE;DES TERNES;75017;PLACE DES TERNES 75017 Paris France;48.877819, 2.298048
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;PONT;DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
BLIND DATE;HAIM BOUZAGLO;2002-01-10;2002-01-10;EXTERIEUR;QUAI;CONTI;75006;QUAI CONTI 75006 Paris France;48.857199, 2.338628
BLIND DATE;HAIM BOUZAGLO;2002-06-10;2002-06-10;EXTERIEUR;RUE;JACOB;75006;RUE JACOB 75006 Paris France;48.855349, 2.334397
APRES VOUS;PIERRE SALVADORI;2002-11-25;2002-11-25;EXTERIEUR;RUE;DE CHARENTON/R HERARD (ANGLE);75012;RUE DE CHARENTON/R HERARD (ANGLE) 75012 Paris France;48.840808, 2.388183
HISTOIRE DE MARIE ET JULIEN;JACQUES RIVETTE;2002-11-27;2002-11-27;EXTERIEUR;RUE;BIGNON;75012;RUE BIGNON 75012 Paris France;48.840629, 2.388489
7 ANS DE MARIAGE....;DIDIER BOURDON;2002-10-12;2002-10-12;EXTERIEUR;BOULEVARD;DIDEROT ET JEAN BOUTON/ANGLE;75012;BOULEVARD DIDEROT ET JEAN BOUTON/ANGLE 75012 Paris France;48.840808, 2.388183
TIRESIA;BERTRAND BONELLO;2002-11-16;2002-11-16;EXTERIEUR;RUE;DE JOURDAIN;75020;RUE DE JOURDAIN 75020 Paris France;48.874447, 2.38946
TIRESIA;BERTRAND BONELLO;2002-12-14;2002-12-14;EXTERIEUR;RUE;DU CHEVALERET;75013;RUE DU CHEVALERET 75013 Paris France;48.831194, 2.374076
TIRESIA;BERTRAND BONELLO;2002-12-14;2002-12-14;EXTERIEUR;RUE;JEAN ANTOINE DE BAIF;75013;RUE JEAN ANTOINE DE BAIF 75013 Paris France;48.827445, 2.383456
